gene,importance_sum,degree,importance_mean
ADCY8,0.025153862,112,0.00022458805636103665
FUS,0.025072847,42,0.0005969725371826263
TBP,0.025059042,51,0.0004913537744797912
RXFP2,0.02505838,17,0.0014740223174586015
CAMKK2,0.025051126,36,0.0006958646182384756
CYP4F12,0.025005322,22,0.0011366055431691084
KCND3,0.024967564,56,0.00044584936196250576
CXCL6,0.024966735,16,0.0015604209620505571
HK1,0.024844375,41,0.0006059603538455033
GSTA5,0.024832258,18,0.0013795698889427716
PAK5,0.024829721,34,0.0007302859140669598
PEX14,0.024799366,12,0.0020666137958566346
CBL,0.02467123,104,0.00023722336985743963
KCNJ3,0.02465025,72,0.0003423645781973998
NINL,0.024608215,18,0.0013671230731738938
TCF7,0.024537276,52,0.00047187070147349284
HSPA7,0.024524782,15,0.001634985456864039
PTH,0.024503946,23,0.0010653889697530994
TCF7L2,0.024438333,55,0.00044433332302353597
HSD3B2,0.024425156,35,0.0006978616118431091
SLC3A1,0.024408484,35,0.0006973852536508016
RNF34,0.024385411,11,0.0022168555720285935
PSMD5,0.024270045,25,0.0009708017855882644
SMARCB1,0.02405348,18,0.0013363044708967209
MGST1,0.023997517,28,0.0008570541893797261
AGL,0.023884796,17,0.0014049879768315483
SLC38A4,0.023884207,43,0.0005554466746574224
SPTA1,0.023877198,19,0.0012566946250827688
CXCL1,0.023865584,29,0.0008229511822092122
MAP3K7,0.023850864,160,0.00014906789874657989
DHFR,0.023790536,34,0.0006997216602458674
DNMT3B,0.023743063,19,0.001249634905865318
CCKBR,0.023699211,32,0.0007406003423966467
PKN1,0.023675552,26,0.0009105981399233525
SCTR,0.023620604,17,0.0013894472709473442
ALOX5,0.023557605,85,0.00027714829672785367
ITPR2,0.023483554,99,0.00023720761516479532
POU2F1,0.023475235,20,0.0011737617664039136
SPTBN5,0.023447724,18,0.0013026513366235627
NCOR2,0.023442809,65,0.0003606585929026971
GAL,0.023367362,15,0.001557824139793714
CDK5RAP2,0.02336594,16,0.0014603713061660528
FDFT1,0.023327874,41,0.0005689725370668783
ABCB1,0.023297295,42,0.0005546974993887402
BCKDHB,0.023287201,32,0.0007277250406332314
CAMK2G,0.02323839,108,0.00021517028411229452
ADRA1B,0.023191394,29,0.0007997032511850883
MYL12A,0.023150127,16,0.0014468829613178968
IFNAR2,0.023054976,47,0.0004905314046017667
NR2C1,0.023052331,13,0.001773256235397779
BCL2,0.02302895,126,0.00018276943869533993
SPDL1,0.02298843,18,0.0012771349607242479
IFNAR1,0.022980502,49,0.000468989834189415
CHST12,0.022962747,10,0.0022962747141718866
ALMS1,0.022930833,17,0.0013488725046901142
PTGFR,0.022881862,17,0.0013459918691831477
UBE2D1,0.022832979,66,0.0003459542199517741
